Fixed Point: 8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d | Rounds: 6 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 4f8e4f8e4f8e4f8e4f8e4f8e4f8e4f8e | Rounds: 18 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: edfeaa8eedfeaa8eedfeaa8eedfeaa8e | Rounds: 28 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 8f8f8f8f8f8f8f8f8f8f8f8f8f8f8f8f | Rounds: 47 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 5d915d915d915d915d915d915d915d91 | Rounds: 5 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 91919191919191919191919191919191 | Rounds: 47 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: f6d51692f6d51692f6d51692f6d51692 | Rounds: 28 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 92929292929292929292929292929292 | Rounds: 4 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: e692e692e692e692e692e692e692e692 | Rounds: 24 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 39933993399339933993399339933993 | Rounds: 38 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 37369893373698933736989337369893 | Rounds: 9 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: f193f193f193f193f193f193f193f193 | Rounds: 4 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 94949494949494949494949494949494 | Rounds: 4 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: e526f494e526f494e526f494e526f494 | Rounds: 9 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: b5332e95b5332e95b5332e95b5332e95 | Rounds: 9 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: de95de95de95de95de95de95de95de95 | Rounds: 38 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: eb96eb96eb96eb96eb96eb96eb96eb96 | Rounds: 4 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 5d975d975d975d975d975d975d975d97 | Rounds: 4 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: ed5b9997ed5b9997ed5b9997ed5b9997 | Rounds: 9 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 93373698933736989337369893373698 | Rounds: 9 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 98989898989898989898989898989898 | Rounds: 47 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 09032e9909032e9909032e9909032e99 | Rounds: 28 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
