Fixed Point: 5ae7b03b5ae7b03b5ae7b03b5ae7b03b | Rounds: 48 | Key: 61616161616161616161616161616161
Fixed Point: 3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d | Rounds: 8 | Key: 61616161616161616161616161616161
Fixed Point: 3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e | Rounds: 16 | Key: 61616161616161616161616161616161
Fixed Point: 853f853f853f853f853f853f853f853f | Rounds: 16 | Key: 61616161616161616161616161616161
Fixed Point: 41414141414141414141414141414141 | Rounds: 22 | Key: 61616161616161616161616161616161
Fixed Point: 0d440d440d440d440d440d440d440d44 | Rounds: 10 | Key: 61616161616161616161616161616161
Fixed Point: 45454545454545454545454545454545 | Rounds: 45 | Key: 61616161616161616161616161616161
Fixed Point: 46464646464646464646464646464646 | Rounds: 20 | Key: 61616161616161616161616161616161
Fixed Point: 8b478b478b478b478b478b478b478b47 | Rounds: 18 | Key: 61616161616161616161616161616161
Fixed Point: eb7aa147eb7aa147eb7aa147eb7aa147 | Rounds: 28 | Key: 61616161616161616161616161616161
Fixed Point: dd48dd48dd48dd48dd48dd48dd48dd48 | Rounds: 13 | Key: 61616161616161616161616161616161
Fixed Point: 4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c | Rounds: 13 | Key: 61616161616161616161616161616161
Fixed Point: 51515151515151515151515151515151 | Rounds: 50 | Key: 61616161616161616161616161616161
Fixed Point: 84518451845184518451845184518451 | Rounds: 11 | Key: 61616161616161616161616161616161
Fixed Point: 53535353535353535353535353535353 | Rounds: 38 | Key: 61616161616161616161616161616161
Fixed Point: 70587058705870587058705870587058 | Rounds: 11 | Key: 61616161616161616161616161616161
Fixed Point: e7b03b5ae7b03b5ae7b03b5ae7b03b5a | Rounds: 48 | Key: 61616161616161616161616161616161
Fixed Point: 5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d | Rounds: 22 | Key: 61616161616161616161616161616161
Fixed Point: 019aa55d019aa55d019aa55d019aa55d | Rounds: 11 | Key: 61616161616161616161616161616161
Fixed Point: 005f005f005f005f005f005f005f005f | Rounds: 45 | Key: 61616161616161616161616161616161
Fixed Point: 5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f5f | Rounds: 13 | Key: 61616161616161616161616161616161
Fixed Point: d3b2c961d3b2c961d3b2c961d3b2c961 | Rounds: 31 | Key: 61616161616161616161616161616161
Fixed Point: 94842b6494842b6494842b6494842b64 | Rounds: 46 | Key: 61616161616161616161616161616161
Fixed Point: 64646464646464646464646464646464 | Rounds: 25 | Key: 61616161616161616161616161616161
Fixed Point: f8328a66f8328a66f8328a66f8328a66 | Rounds: 23 | Key: 61616161616161616161616161616161
Fixed Point: 83e2e46983e2e46983e2e46983e2e469 | Rounds: 34 | Key: 61616161616161616161616161616161
Fixed Point: 3b6b3b6b3b6b3b6b3b6b3b6b3b6b3b6b | Rounds: 17 | Key: 61616161616161616161616161616161
Fixed Point: 6c6c6c6c6c6c6c6c6c6c6c6c6c6c6c6c | Rounds: 5 | Key: 61616161616161616161616161616161
Fixed Point: 58705870587058705870587058705870 | Rounds: 11 | Key: 61616161616161616161616161616161
Fixed Point: 70707070707070707070707070707070 | Rounds: 2 | Key: 61616161616161616161616161616161
Fixed Point: a42ee470a42ee470a42ee470a42ee470 | Rounds: 6 | Key: 61616161616161616161616161616161
Fixed Point: f573f573f573f573f573f573f573f573 | Rounds: 7 | Key: 61616161616161616161616161616161
Fixed Point: 75757575757575757575757575757575 | Rounds: 2 | Key: 61616161616161616161616161616161
Fixed Point: ad7aad7aad7aad7aad7aad7aad7aad7a | Rounds: 19 | Key: 61616161616161616161616161616161
Fixed Point: a147eb7aa147eb7aa147eb7aa147eb7a | Rounds: 28 | Key: 61616161616161616161616161616161
Fixed Point: e87ce87ce87ce87ce87ce87ce87ce87c | Rounds: 2 | Key: 61616161616161616161616161616161
Fixed Point: 7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e | Rounds: 49 | Key: 61616161616161616161616161616161
Fixed Point: f8e9a47ef8e9a47ef8e9a47ef8e9a47e | Rounds: 48 | Key: 61616161616161616161616161616161
Fixed Point: 80808080808080808080808080808080 | Rounds: 47 | Key: 61616161616161616161616161616161
Fixed Point: e2e46983e2e46983e2e46983e2e46983 | Rounds: 34 | Key: 61616161616161616161616161616161
Fixed Point: 51845184518451845184518451845184 | Rounds: 11 | Key: 61616161616161616161616161616161
Fixed Point: 2b6494842b6494842b6494842b649484 | Rounds: 46 | Key: 61616161616161616161616161616161
Fixed Point: 3f853f853f853f853f853f853f853f85 | Rounds: 16 | Key: 61616161616161616161616161616161
Fixed Point: 16861686168616861686168616861686 | Rounds: 28 | Key: 61616161616161616161616161616161
