Fixed Point: 6c0855766c0855766c0855766c085576 | Rounds: 33 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 78787878787878787878787878787878 | Rounds: 16 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: dfc9bf79dfc9bf79dfc9bf79dfc9bf79 | Rounds: 33 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 7a7a7a7a7a7a7a7a7a7a7a7a7a7a7a7a | Rounds: 29 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 8bf7f87a8bf7f87a8bf7f87a8bf7f87a | Rounds: 33 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 7c7c7c7c7c7c7c7c7c7c7c7c7c7c7c7c | Rounds: 16 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 7f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7f | Rounds: 16 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 25aa188025aa188025aa188025aa1880 | Rounds: 33 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 80808080808080808080808080808080 | Rounds: 16 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 36302281363022813630228136302281 | Rounds: 33 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: f8278e81f8278e81f8278e81f8278e81 | Rounds: 33 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 83838383838383838383838383838383 | Rounds: 29 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 1e4ecb841e4ecb841e4ecb841e4ecb84 | Rounds: 33 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: fda3f987fda3f987fda3f987fda3f987 | Rounds: 33 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: ee122d8aee122d8aee122d8aee122d8a | Rounds: 33 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: f7f87a8bf7f87a8bf7f87a8bf7f87a8b | Rounds: 33 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: f4d70b8cf4d70b8cf4d70b8cf4d70b8c | Rounds: 33 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 6241258d6241258d6241258d6241258d | Rounds: 33 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: ba6f168eba6f168eba6f168eba6f168e | Rounds: 33 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: af391a8eaf391a8eaf391a8eaf391a8e | Rounds: 33 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 81f8278e81f8278e81f8278e81f8278e | Rounds: 33 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: fef5548efef5548efef5548efef5548e | Rounds: 33 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 42d8159242d8159242d8159242d81592 | Rounds: 33 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 1e3534921e3534921e3534921e353492 | Rounds: 33 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 2f6d6c932f6d6c932f6d6c932f6d6c93 | Rounds: 33 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: a73cff95a73cff95a73cff95a73cff95 | Rounds: 33 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 34620199346201993462019934620199 | Rounds: 33 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 9a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9a | Rounds: 16 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: b0f71c9db0f71c9db0f71c9db0f71c9d | Rounds: 33 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 5e01319d5e01319d5e01319d5e01319d | Rounds: 33 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: f2a0139ef2a0139ef2a0139ef2a0139e | Rounds: 33 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: f4ed729ef4ed729ef4ed729ef4ed729e | Rounds: 33 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 139ef2a0139ef2a0139ef2a0139ef2a0 | Rounds: 33 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 63a263a263a263a263a263a263a263a2 | Rounds: 2 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3 | Rounds: 10 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: f987fda3f987fda3f987fda3f987fda3 | Rounds: 33 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5 | Rounds: 29 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: d5f6e2a5d5f6e2a5d5f6e2a5d5f6e2a5 | Rounds: 33 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 3cff95a73cff95a73cff95a73cff95a7 | Rounds: 33 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 188025aa188025aa188025aa188025aa | Rounds: 33 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: acacacacacacacacacacacacacacacac | Rounds: 16 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
Fixed Point: 391a8eaf391a8eaf391a8eaf391a8eaf | Rounds: 33 | Key: c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0
