Fixed Point: 81658165816581658165816581658165 | Rounds: 20 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: 66666666666666666666666666666666 | Rounds: 21 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: bd66bd66bd66bd66bd66bd66bd66bd66 | Rounds: 50 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: 48ea236748ea236748ea236748ea2367 | Rounds: 6 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: 9f7187689f7187689f7187689f718768 | Rounds: 4 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: 20692069206920692069206920692069 | Rounds: 50 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: 69696969696969696969696969696969 | Rounds: 21 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: 324d7669324d7669324d7669324d7669 | Rounds: 4 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: e169e169e169e169e169e169e169e169 | Rounds: 38 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: de6ade6ade6ade6ade6ade6ade6ade6a | Rounds: 8 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: 9534996b9534996b9534996b9534996b | Rounds: 28 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: a46ca46ca46ca46ca46ca46ca46ca46c | Rounds: 50 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: a96ca96ca96ca96ca96ca96ca96ca96c | Rounds: 38 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: 6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d | Rounds: 22 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: d86ed86ed86ed86ed86ed86ed86ed86e | Rounds: 50 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: f66ef66ef66ef66ef66ef66ef66ef66e | Rounds: 11 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: 1f6f1f6f1f6f1f6f1f6f1f6f1f6f1f6f | Rounds: 38 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: 8146526f8146526f8146526f8146526f | Rounds: 28 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: 6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f | Rounds: 12 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: 10701070107010701070107010701070 | Rounds: 11 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: 84708470847084708470847084708470 | Rounds: 38 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: 3a1fed703a1fed703a1fed703a1fed70 | Rounds: 6 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: 87689f7187689f7187689f7187689f71 | Rounds: 4 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
Fixed Point: 0b720b720b720b720b720b720b720b72 | Rounds: 38 | Key: c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8c8
