Fixed Point: dee19bc1dee19bc1dee19bc1dee19bc1 | Rounds: 30 | Key: a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0
Fixed Point: c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1 | Rounds: 2 | Key: a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0
Fixed Point: bdc8bdc8bdc8bdc8bdc8bdc8bdc8bdc8 | Rounds: 12 | Key: a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0
Fixed Point: efc8efc8efc8efc8efc8efc8efc8efc8 | Rounds: 12 | Key: a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0
Fixed Point: 3e3caecd3e3caecd3e3caecd3e3caecd | Rounds: 30 | Key: a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0
Fixed Point: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0 | Rounds: 1 | Key: a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0
Fixed Point: 5d1eb5d35d1eb5d35d1eb5d35d1eb5d3 | Rounds: 30 | Key: a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0
Fixed Point: 59d459d459d459d459d459d459d459d4 | Rounds: 6 | Key: a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0
Fixed Point: 4ae057d54ae057d54ae057d54ae057d5 | Rounds: 30 | Key: a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0
Fixed Point: 626418d6626418d6626418d6626418d6 | Rounds: 28 | Key: a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0
Fixed Point: 148b6fd7148b6fd7148b6fd7148b6fd7 | Rounds: 30 | Key: a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0
Fixed Point: d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8d8 | Rounds: 2 | Key: a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0
Fixed Point: 9e38f5d89e38f5d89e38f5d89e38f5d8 | Rounds: 4 | Key: a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0
Fixed Point: 67ab85da67ab85da67ab85da67ab85da | Rounds: 30 | Key: a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0
Fixed Point: 9a02acda9a02acda9a02acda9a02acda | Rounds: 28 | Key: a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0
Fixed Point: 611571dc611571dc611571dc611571dc | Rounds: 30 | Key: a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0
Fixed Point: e19bc1dee19bc1dee19bc1dee19bc1de | Rounds: 30 | Key: a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0
Fixed Point: dfdfdfdfdfdfdfdfdfdfdfdfdfdfdfdf | Rounds: 6 | Key: a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0
Fixed Point: 57d54ae057d54ae057d54ae057d54ae0 | Rounds: 30 | Key: a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0
Fixed Point: 3fe13fe13fe13fe13fe13fe13fe13fe1 | Rounds: 6 | Key: a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0
Fixed Point: 9bc1dee19bc1dee19bc1dee19bc1dee1 | Rounds: 30 | Key: a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0
Fixed Point: 9be512e59be512e59be512e59be512e5 | Rounds: 30 | Key: a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0
Fixed Point: 77e577e577e577e577e577e577e577e5 | Rounds: 12 | Key: a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0
Fixed Point: 12e59be512e59be512e59be512e59be5 | Rounds: 30 | Key: a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0
Fixed Point: 849425e8849425e8849425e8849425e8 | Rounds: 30 | Key: a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0
Fixed Point: 4c617ce94c617ce94c617ce94c617ce9 | Rounds: 28 | Key: a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0
Fixed Point: a0f406eda0f406eda0f406eda0f406ed | Rounds: 30 | Key: a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0
Fixed Point: c8efc8efc8efc8efc8efc8efc8efc8ef | Rounds: 12 | Key: a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0
Fixed Point: 06eda0f406eda0f406eda0f406eda0f4 | Rounds: 30 | Key: a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0
Fixed Point: d89e38f5d89e38f5d89e38f5d89e38f5 | Rounds: 4 | Key: a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0
Fixed Point: 76f576f576f576f576f576f576f576f5 | Rounds: 6 | Key: a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0
Fixed Point: 03a055f603a055f603a055f603a055f6 | Rounds: 30 | Key: a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0
Fixed Point: ff02b0f7ff02b0f7ff02b0f7ff02b0f7 | Rounds: 28 | Key: a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0
Fixed Point: 02b0f7ff02b0f7ff02b0f7ff02b0f7ff | Rounds: 28 | Key: a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0a0
Fixed Point: 1ee202001ee202001ee202001ee20200 | Rounds: 4 | Key: a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1
Fixed Point: 20ec030020ec030020ec030020ec0300 | Rounds: 7 | Key: a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1
Fixed Point: e107ac00e107ac00e107ac00e107ac00 | Rounds: 7 | Key: a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1
Fixed Point: 001ee202001ee202001ee202001ee202 | Rounds: 4 | Key: a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1
Fixed Point: 0020ec030020ec030020ec030020ec03 | Rounds: 7 | Key: a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1
Fixed Point: 04040404040404040404040404040404 | Rounds: 36 | Key: a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1
Fixed Point: db630e04db630e04db630e04db630e04 | Rounds: 7 | Key: a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1
Fixed Point: 06060606060606060606060606060606 | Rounds: 36 | Key: a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1
Fixed Point: ac00e107ac00e107ac00e107ac00e107 | Rounds: 7 | Key: a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1
Fixed Point: 09090909090909090909090909090909 | Rounds: 36 | Key: a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1
Fixed Point: 10091009100910091009100910091009 | Rounds: 35 | Key: a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1
Fixed Point: 20092009200920092009200920092009 | Rounds: 9 | Key: a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1
Fixed Point: cb0acb0acb0acb0acb0acb0acb0acb0a | Rounds: 35 | Key: a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1
Fixed Point: 0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d | Rounds: 7 | Key: a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1
Fixed Point: 04db630e04db630e04db630e04db630e | Rounds: 7 | Key: a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1
Fixed Point: 200f200f200f200f200f200f200f200f | Rounds: 35 | Key: a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1
Fixed Point: 09100910091009100910091009100910 | Rounds: 35 | Key: a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1
Fixed Point: 857f8b10857f8b10857f8b10857f8b10 | Rounds: 7 | Key: a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1
Fixed Point: 8a128a128a128a128a128a128a128a12 | Rounds: 9 | Key: a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1
Fixed Point: a914a914a914a914a914a914a914a914 | Rounds: 9 | Key: a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1
Fixed Point: 1d151d151d151d151d151d151d151d15 | Rounds: 9 | Key: a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1
Fixed Point: 17171717171717171717171717171717 | Rounds: 6 | Key: a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1
Fixed Point: ef17ef17ef17ef17ef17ef17ef17ef17 | Rounds: 35 | Key: a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1
Fixed Point: e419e419e419e419e419e419e419e419 | Rounds: 9 | Key: a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1
Fixed Point: 151d151d151d151d151d151d151d151d | Rounds: 9 | Key: a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1
Fixed Point: aa1daa1daa1daa1daa1daa1daa1daa1d | Rounds: 9 | Key: a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1
Fixed Point: e202001ee202001ee202001ee202001e | Rounds: 4 | Key: a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1
Fixed Point: 1e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1e | Rounds: 36 | Key: a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1
Fixed Point: ec030020ec030020ec030020ec030020 | Rounds: 7 | Key: a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1
Fixed Point: 09200920092009200920092009200920 | Rounds: 9 | Key: a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1
Fixed Point: 0f200f200f200f200f200f200f200f20 | Rounds: 35 | Key: a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1
Fixed Point: 22222222222222222222222222222222 | Rounds: 36 | Key: a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1
Fixed Point: 24242424242424242424242424242424 | Rounds: 36 | Key: a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1
Fixed Point: 25252525252525252525252525252525 | Rounds: 7 | Key: a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1
Fixed Point: 29292929292929292929292929292929 | Rounds: 36 | Key: a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1
Fixed Point: 8d298d298d298d298d298d298d298d29 | Rounds: 35 | Key: a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1
