Fixed Point: 52ff52ff52ff52ff52ff52ff52ff52ff | Rounds: 42 | Key: e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0
Fixed Point: 0695d0010695d0010695d0010695d001 | Rounds: 29 | Key: e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1
Fixed Point: d1c9aa02d1c9aa02d1c9aa02d1c9aa02 | Rounds: 27 | Key: e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1
Fixed Point: 05050505050505050505050505050505 | Rounds: 41 | Key: e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1
Fixed Point: 95d0010695d0010695d0010695d00106 | Rounds: 29 | Key: e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1
Fixed Point: 07070707070707070707070707070707 | Rounds: 11 | Key: e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1
Fixed Point: 76077607760776077607760776077607 | Rounds: 22 | Key: e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1
Fixed Point: 09090909090909090909090909090909 | Rounds: 28 | Key: e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1
Fixed Point: 4a094a094a094a094a094a094a094a09 | Rounds: 35 | Key: e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1
Fixed Point: 416b8f0a416b8f0a416b8f0a416b8f0a | Rounds: 10 | Key: e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1
Fixed Point: b30bb30bb30bb30bb30bb30bb30bb30b | Rounds: 48 | Key: e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1
Fixed Point: 0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c | Rounds: 46 | Key: e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1
Fixed Point: 0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e | Rounds: 23 | Key: e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1
Fixed Point: d60ed60ed60ed60ed60ed60ed60ed60e | Rounds: 21 | Key: e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1
Fixed Point: 0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f | Rounds: 33 | Key: e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1
Fixed Point: 710f710f710f710f710f710f710f710f | Rounds: 38 | Key: e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1
Fixed Point: 68106810681068106810681068106810 | Rounds: 7 | Key: e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1
Fixed Point: 11111111111111111111111111111111 | Rounds: 9 | Key: e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1
Fixed Point: 12121212121212121212121212121212 | Rounds: 29 | Key: e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1
Fixed Point: 15151515151515151515151515151515 | Rounds: 33 | Key: e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1
Fixed Point: 16161616161616161616161616161616 | Rounds: 17 | Key: e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1
Fixed Point: 32173217321732173217321732173217 | Rounds: 47 | Key: e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1
Fixed Point: 22aa4d1722aa4d1722aa4d1722aa4d17 | Rounds: 4 | Key: e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1
Fixed Point: 19191919191919191919191919191919 | Rounds: 33 | Key: e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1
Fixed Point: 821c821c821c821c821c821c821c821c | Rounds: 47 | Key: e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1
Fixed Point: 1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d | Rounds: 32 | Key: e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1
Fixed Point: 3f213f213f213f213f213f213f213f21 | Rounds: 17 | Key: e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1
Fixed Point: aa4d1722aa4d1722aa4d1722aa4d1722 | Rounds: 4 | Key: e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1
Fixed Point: dfd49b24dfd49b24dfd49b24dfd49b24 | Rounds: 12 | Key: e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1
Fixed Point: 472d472d472d472d472d472d472d472d | Rounds: 29 | Key: e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1
Fixed Point: 362e362e362e362e362e362e362e362e | Rounds: 49 | Key: e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1
Fixed Point: cad5762ecad5762ecad5762ecad5762e | Rounds: 40 | Key: e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1
Fixed Point: 522f522f522f522f522f522f522f522f | Rounds: 33 | Key: e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1
Fixed Point: 31313131313131313131313131313131 | Rounds: 3 | Key: e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1
Fixed Point: 17321732173217321732173217321732 | Rounds: 47 | Key: e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1e1
