Fixed Point: 4b704b704b704b704b704b704b704b70 | Rounds: 36 | Key: 00000000000000000000000000000000
Fixed Point: 1864fa711864fa711864fa711864fa71 | Rounds: 40 | Key: 00000000000000000000000000000000
Fixed Point: b45a0a72b45a0a72b45a0a72b45a0a72 | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: 73737373737373737373737373737373 | Rounds: 2 | Key: 00000000000000000000000000000000
Fixed Point: 75737573757375737573757375737573 | Rounds: 36 | Key: 00000000000000000000000000000000
Fixed Point: 98739873987398739873987398739873 | Rounds: 36 | Key: 00000000000000000000000000000000
Fixed Point: 8ea713748ea713748ea713748ea71374 | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: f129c374f129c374f129c374f129c374 | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: d174d174d174d174d174d174d174d174 | Rounds: 21 | Key: 00000000000000000000000000000000
Fixed Point: 73757375737573757375737573757375 | Rounds: 36 | Key: 00000000000000000000000000000000
Fixed Point: a203c975a203c975a203c975a203c975 | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: de75de75de75de75de75de75de75de75 | Rounds: 15 | Key: 00000000000000000000000000000000
Fixed Point: 22762276227622762276227622762276 | Rounds: 15 | Key: 00000000000000000000000000000000
Fixed Point: 26772677267726772677267726772677 | Rounds: 36 | Key: 00000000000000000000000000000000
Fixed Point: 9090b9779090b9779090b9779090b977 | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: 837b2f79837b2f79837b2f79837b2f79 | Rounds: 12 | Key: 00000000000000000000000000000000
Fixed Point: e379e379e379e379e379e379e379e379 | Rounds: 21 | Key: 00000000000000000000000000000000
Fixed Point: 9df8207a9df8207a9df8207a9df8207a | Rounds: 40 | Key: 00000000000000000000000000000000
Fixed Point: f77af77af77af77af77af77af77af77a | Rounds: 36 | Key: 00000000000000000000000000000000
Fixed Point: 2f79837b2f79837b2f79837b2f79837b | Rounds: 12 | Key: 00000000000000000000000000000000
Fixed Point: 7f94907b7f94907b7f94907b7f94907b | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: 8afb267c8afb267c8afb267c8afb267c | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: 95eed67c95eed67c95eed67c95eed67c | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: adf5a37dadf5a37dadf5a37dadf5a37d | Rounds: 4 | Key: 00000000000000000000000000000000
Fixed Point: d17dd17dd17dd17dd17dd17dd17dd17d | Rounds: 21 | Key: 00000000000000000000000000000000
Fixed Point: c6b1d67ec6b1d67ec6b1d67ec6b1d67e | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: 94907b7f94907b7f94907b7f94907b7f | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: 4ebcb47f4ebcb47f4ebcb47f4ebcb47f | Rounds: 40 | Key: 00000000000000000000000000000000
Fixed Point: b180b180b180b180b180b180b180b180 | Rounds: 36 | Key: 00000000000000000000000000000000
Fixed Point: ca6bc580ca6bc580ca6bc580ca6bc580 | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: 8fc801828fc801828fc801828fc80182 | Rounds: 4 | Key: 00000000000000000000000000000000
Fixed Point: 47af2f8247af2f8247af2f8247af2f82 | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: c682c682c682c682c682c682c682c682 | Rounds: 21 | Key: 00000000000000000000000000000000
Fixed Point: ed82ed82ed82ed82ed82ed82ed82ed82 | Rounds: 21 | Key: 00000000000000000000000000000000
Fixed Point: 7b2f79837b2f79837b2f79837b2f7983 | Rounds: 12 | Key: 00000000000000000000000000000000
Fixed Point: 8a2660858a2660858a2660858a266085 | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: 0435cd850435cd850435cd850435cd85 | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: 06860686068606860686068606860686 | Rounds: 15 | Key: 00000000000000000000000000000000
Fixed Point: 086f4b86086f4b86086f4b86086f4b86 | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: 68866886688668866886688668866886 | Rounds: 36 | Key: 00000000000000000000000000000000
Fixed Point: c086c086c086c086c086c086c086c086 | Rounds: 2 | Key: 00000000000000000000000000000000
Fixed Point: 4d874d874d874d874d874d874d874d87 | Rounds: 24 | Key: 00000000000000000000000000000000
Fixed Point: 406b5387406b5387406b5387406b5387 | Rounds: 40 | Key: 00000000000000000000000000000000
Fixed Point: fb267c8afb267c8afb267c8afb267c8a | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: 2660858a2660858a2660858a2660858a | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: 9ded018b9ded018b9ded018b9ded018b | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: a58ba58ba58ba58ba58ba58ba58ba58b | Rounds: 36 | Key: 00000000000000000000000000000000
Fixed Point: c28bc28bc28bc28bc28bc28bc28bc28b | Rounds: 36 | Key: 00000000000000000000000000000000
Fixed Point: f38bf38bf38bf38bf38bf38bf38bf38b | Rounds: 24 | Key: 00000000000000000000000000000000
Fixed Point: 6c8e6c8e6c8e6c8e6c8e6c8e6c8e6c8e | Rounds: 36 | Key: 00000000000000000000000000000000
Fixed Point: a713748ea713748ea713748ea713748e | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: a769cc8ea769cc8ea769cc8ea769cc8e | Rounds: 40 | Key: 00000000000000000000000000000000
Fixed Point: c801828fc801828fc801828fc801828f | Rounds: 4 | Key: 00000000000000000000000000000000
Fixed Point: 8f8f8f8f8f8f8f8f8f8f8f8f8f8f8f8f | Rounds: 2 | Key: 00000000000000000000000000000000
Fixed Point: 90b9779090b9779090b9779090b97790 | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: b9779090b9779090b9779090b9779090 | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: 7b7f94907b7f94907b7f94907b7f9490 | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: 045cd890045cd890045cd890045cd890 | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: 6cc732926cc732926cc732926cc73292 | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: 25eab29225eab29225eab29225eab292 | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: 3c076f943c076f943c076f943c076f94 | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: 907b7f94907b7f94907b7f94907b7f94 | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: a6cc9694a6cc9694a6cc9694a6cc9694 | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: eed67c95eed67c95eed67c95eed67c95 | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: 15e4e39515e4e39515e4e39515e4e395 | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: 94a6cc9694a6cc9694a6cc9694a6cc96 | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: 34973497349734973497349734973497 | Rounds: 24 | Key: 00000000000000000000000000000000
Fixed Point: 17536d9817536d9817536d9817536d98 | Rounds: 47 | Key: 00000000000000000000000000000000
Fixed Point: 73987398739873987398739873987398 | Rounds: 36 | Key: 00000000000000000000000000000000
Fixed Point: 0c9b0c9b0c9b0c9b0c9b0c9b0c9b0c9b | Rounds: 36 | Key: 00000000000000000000000000000000
Fixed Point: 9b9b9b9b9b9b9b9b9b9b9b9b9b9b9b9b | Rounds: 27 | Key: 00000000000000000000000000000000
Fixed Point: 509c509c509c509c509c509c509c509c | Rounds: 21 | Key: 00000000000000000000000000000000
Fixed Point: cf9ccf9ccf9ccf9ccf9ccf9ccf9ccf9c | Rounds: 15 | Key: 00000000000000000000000000000000
