Fixed Point: 9c9c9c9c9c9c9c9c9c9c9c9c9c9c9c9c | Rounds: 13 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: fe9dfe9dfe9dfe9dfe9dfe9dfe9dfe9d | Rounds: 36 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 499e499e499e499e499e499e499e499e | Rounds: 27 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 5327009f5327009f5327009f5327009f | Rounds: 27 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: baa1baa1baa1baa1baa1baa1baa1baa1 | Rounds: 13 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 7b8590a27b8590a27b8590a27b8590a2 | Rounds: 8 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: d9a4d9a4d9a4d9a4d9a4d9a4d9a4d9a4 | Rounds: 41 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 49a649a649a649a649a649a649a649a6 | Rounds: 13 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 38a838a838a838a838a838a838a838a8 | Rounds: 46 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9a9 | Rounds: 35 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa | Rounds: 28 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: c9abc9abc9abc9abc9abc9abc9abc9ab | Rounds: 22 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: adadadadadadadadadadadadadadadad | Rounds: 28 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 26b026b026b026b026b026b026b026b0 | Rounds: 19 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: 2ab12ab12ab12ab12ab12ab12ab12ab1 | Rounds: 28 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1 | Rounds: 28 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
Fixed Point: b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3 | Rounds: 28 | Key: b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0
