Fixed Point: bbf3bbf3bbf3bbf3bbf3bbf3bbf3bbf3 | Rounds: 25 | Key: 18181818181818181818181818181818
Fixed Point: f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3f3 | Rounds: 23 | Key: 18181818181818181818181818181818
Fixed Point: 75f475f475f475f475f475f475f475f4 | Rounds: 33 | Key: 18181818181818181818181818181818
Fixed Point: f6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f6 | Rounds: 23 | Key: 18181818181818181818181818181818
Fixed Point: 13d108f813d108f813d108f813d108f8 | Rounds: 4 | Key: 18181818181818181818181818181818
Fixed Point: dcf9dcf9dcf9dcf9dcf9dcf9dcf9dcf9 | Rounds: 20 | Key: 18181818181818181818181818181818
Fixed Point: 46fe46fe46fe46fe46fe46fe46fe46fe | Rounds: 33 | Key: 18181818181818181818181818181818
Fixed Point: 40004000400040004000400040004000 | Rounds: 33 | Key: 19191919191919191919191919191919
Fixed Point: dd01dd01dd01dd01dd01dd01dd01dd01 | Rounds: 42 | Key: 19191919191919191919191919191919
Fixed Point: b904b904b904b904b904b904b904b904 | Rounds: 42 | Key: 19191919191919191919191919191919
Fixed Point: 53075307530753075307530753075307 | Rounds: 33 | Key: 19191919191919191919191919191919
Fixed Point: dd08dd08dd08dd08dd08dd08dd08dd08 | Rounds: 42 | Key: 19191919191919191919191919191919
Fixed Point: 270a270a270a270a270a270a270a270a | Rounds: 33 | Key: 19191919191919191919191919191919
Fixed Point: fe0afe0afe0afe0afe0afe0afe0afe0a | Rounds: 42 | Key: 19191919191919191919191919191919
Fixed Point: fe13fe13fe13fe13fe13fe13fe13fe13 | Rounds: 33 | Key: 19191919191919191919191919191919
Fixed Point: ee16ee16ee16ee16ee16ee16ee16ee16 | Rounds: 33 | Key: 19191919191919191919191919191919
Fixed Point: 1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b | Rounds: 7 | Key: 19191919191919191919191919191919
Fixed Point: b81cb81cb81cb81cb81cb81cb81cb81c | Rounds: 42 | Key: 19191919191919191919191919191919
Fixed Point: df1cdf1cdf1cdf1cdf1cdf1cdf1cdf1c | Rounds: 42 | Key: 19191919191919191919191919191919
Fixed Point: 851e851e851e851e851e851e851e851e | Rounds: 42 | Key: 19191919191919191919191919191919
Fixed Point: bc1fbc1fbc1fbc1fbc1fbc1fbc1fbc1f | Rounds: 33 | Key: 19191919191919191919191919191919
Fixed Point: d021d021d021d021d021d021d021d021 | Rounds: 42 | Key: 19191919191919191919191919191919
Fixed Point: 59235923592359235923592359235923 | Rounds: 33 | Key: 19191919191919191919191919191919
Fixed Point: cf25cf25cf25cf25cf25cf25cf25cf25 | Rounds: 42 | Key: 19191919191919191919191919191919
Fixed Point: 0a270a270a270a270a270a270a270a27 | Rounds: 33 | Key: 19191919191919191919191919191919
Fixed Point: 832a832a832a832a832a832a832a832a | Rounds: 33 | Key: 19191919191919191919191919191919
Fixed Point: 882d882d882d882d882d882d882d882d | Rounds: 33 | Key: 19191919191919191919191919191919
Fixed Point: ce2ece2ece2ece2ece2ece2ece2ece2e | Rounds: 42 | Key: 19191919191919191919191919191919
