Fixed Point: 7467d8697467d8697467d8697467d869 | Rounds: 31 | Key: 80808080808080808080808080808080
Fixed Point: ab004d6bab004d6bab004d6bab004d6b | Rounds: 31 | Key: 80808080808080808080808080808080
Fixed Point: abc3ac6babc3ac6babc3ac6babc3ac6b | Rounds: 31 | Key: 80808080808080808080808080808080
Fixed Point: cc6bcc6bcc6bcc6bcc6bcc6bcc6bcc6b | Rounds: 33 | Key: 80808080808080808080808080808080
Fixed Point: 6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d6d | Rounds: 44 | Key: 80808080808080808080808080808080
Fixed Point: 4982be6d4982be6d4982be6d4982be6d | Rounds: 40 | Key: 80808080808080808080808080808080
Fixed Point: 82d84d6e82d84d6e82d84d6e82d84d6e | Rounds: 31 | Key: 80808080808080808080808080808080
Fixed Point: 6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e | Rounds: 44 | Key: 80808080808080808080808080808080
Fixed Point: 9b82ae6e9b82ae6e9b82ae6e9b82ae6e | Rounds: 31 | Key: 80808080808080808080808080808080
Fixed Point: bc6ebc6ebc6ebc6ebc6ebc6ebc6ebc6e | Rounds: 20 | Key: 80808080808080808080808080808080
Fixed Point: e61aee6ee61aee6ee61aee6ee61aee6e | Rounds: 31 | Key: 80808080808080808080808080808080
Fixed Point: cf78026fcf78026fcf78026fcf78026f | Rounds: 40 | Key: 80808080808080808080808080808080
Fixed Point: 41704170417041704170417041704170 | Rounds: 20 | Key: 80808080808080808080808080808080
Fixed Point: 70707070707070707070707070707070 | Rounds: 44 | Key: 80808080808080808080808080808080
Fixed Point: 71717171717171717171717171717171 | Rounds: 27 | Key: 80808080808080808080808080808080
Fixed Point: 74717471747174717471747174717471 | Rounds: 20 | Key: 80808080808080808080808080808080
Fixed Point: 8a4fdb728a4fdb728a4fdb728a4fdb72 | Rounds: 40 | Key: 80808080808080808080808080808080
Fixed Point: 8c738c738c738c738c738c738c738c73 | Rounds: 17 | Key: 80808080808080808080808080808080
Fixed Point: 67d8697467d8697467d8697467d86974 | Rounds: 31 | Key: 80808080808080808080808080808080
Fixed Point: 71747174717471747174717471747174 | Rounds: 20 | Key: 80808080808080808080808080808080
Fixed Point: 5f64e8745f64e8745f64e8745f64e874 | Rounds: 40 | Key: 80808080808080808080808080808080
Fixed Point: 1b761b761b761b761b761b761b761b76 | Rounds: 35 | Key: 80808080808080808080808080808080
Fixed Point: 76767676767676767676767676767676 | Rounds: 27 | Key: 80808080808080808080808080808080
Fixed Point: 026fcf78026fcf78026fcf78026fcf78 | Rounds: 40 | Key: 80808080808080808080808080808080
Fixed Point: f0951279f0951279f0951279f0951279 | Rounds: 31 | Key: 80808080808080808080808080808080
Fixed Point: 79797979797979797979797979797979 | Rounds: 44 | Key: 80808080808080808080808080808080
Fixed Point: 129a9979129a9979129a9979129a9979 | Rounds: 40 | Key: 80808080808080808080808080808080
Fixed Point: d879d879d879d879d879d879d879d879 | Rounds: 17 | Key: 80808080808080808080808080808080
Fixed Point: 2ed6447b2ed6447b2ed6447b2ed6447b | Rounds: 31 | Key: 80808080808080808080808080808080
Fixed Point: 5a7b5a7b5a7b5a7b5a7b5a7b5a7b5a7b | Rounds: 35 | Key: 80808080808080808080808080808080
Fixed Point: d94a127cd94a127cd94a127cd94a127c | Rounds: 31 | Key: 80808080808080808080808080808080
Fixed Point: 4c7c4c7c4c7c4c7c4c7c4c7c4c7c4c7c | Rounds: 35 | Key: 80808080808080808080808080808080
Fixed Point: 4f7c4f7c4f7c4f7c4f7c4f7c4f7c4f7c | Rounds: 33 | Key: 80808080808080808080808080808080
Fixed Point: de1c127dde1c127dde1c127dde1c127d | Rounds: 8 | Key: 80808080808080808080808080808080
Fixed Point: d3bf127dd3bf127dd3bf127dd3bf127d | Rounds: 40 | Key: 80808080808080808080808080808080
Fixed Point: 8e0a187d8e0a187d8e0a187d8e0a187d | Rounds: 31 | Key: 80808080808080808080808080808080
Fixed Point: 0e62497d0e62497d0e62497d0e62497d | Rounds: 40 | Key: 80808080808080808080808080808080
Fixed Point: 65dd587d65dd587d65dd587d65dd587d | Rounds: 31 | Key: 80808080808080808080808080808080
