Fixed Point: 89a72fd889a72fd889a72fd889a72fd8 | Rounds: 18 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: d9d9d9d9d9d9d9d9d9d9d9d9d9d9d9d9 | Rounds: 34 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: 3c8b0eda3c8b0eda3c8b0eda3c8b0eda | Rounds: 5 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: 770f42e1770f42e1770f42e1770f42e1 | Rounds: 39 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: 04e704e704e704e704e704e704e704e7 | Rounds: 36 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: b4e7b4e7b4e7b4e7b4e7b4e7b4e7b4e7 | Rounds: 18 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7e7 | Rounds: 37 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: 0a8af1ec0a8af1ec0a8af1ec0a8af1ec | Rounds: 23 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: 1a4e1eed1a4e1eed1a4e1eed1a4e1eed | Rounds: 39 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0 | Rounds: 24 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: ec0a8af1ec0a8af1ec0a8af1ec0a8af1 | Rounds: 23 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: 04f204f204f204f204f204f204f204f2 | Rounds: 23 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: caf3caf3caf3caf3caf3caf3caf3caf3 | Rounds: 31 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: 6ef46ef46ef46ef46ef46ef46ef46ef4 | Rounds: 15 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: f6f6f6f6f6f6f6f6f6f6f6f6f6f6f6f6 | Rounds: 27 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: bef8bef8bef8bef8bef8bef8bef8bef8 | Rounds: 46 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: 20f920f920f920f920f920f920f920f9 | Rounds: 47 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: 832e2df9832e2df9832e2df9832e2df9 | Rounds: 36 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: 11fa11fa11fa11fa11fa11fa11fa11fa | Rounds: 13 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: fdfdfdfdfdfdfdfdfdfdfdfdfdfdfdfd | Rounds: 35 | Key: d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0d0
Fixed Point: 00000000000000000000000000000000 | Rounds: 36 | Key: d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1
Fixed Point: e25cc700e25cc700e25cc700e25cc700 | Rounds: 18 | Key: d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1
Fixed Point: 9d668a089d668a089d668a089d668a08 | Rounds: 27 | Key: d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1
Fixed Point: a608a608a608a608a608a608a608a608 | Rounds: 9 | Key: d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1
Fixed Point: 09090909090909090909090909090909 | Rounds: 40 | Key: d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1
Fixed Point: 0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e0e | Rounds: 47 | Key: d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1
Fixed Point: fc57db10fc57db10fc57db10fc57db10 | Rounds: 44 | Key: d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1
Fixed Point: 16161616161616161616161616161616 | Rounds: 6 | Key: d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1
Fixed Point: 4a184a184a184a184a184a184a184a18 | Rounds: 41 | Key: d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1
Fixed Point: fb1afb1afb1afb1afb1afb1afb1afb1a | Rounds: 5 | Key: d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1
Fixed Point: ef1bef1bef1bef1bef1bef1bef1bef1b | Rounds: 45 | Key: d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1
Fixed Point: 1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d | Rounds: 49 | Key: d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1
Fixed Point: 42bf241f42bf241f42bf241f42bf241f | Rounds: 25 | Key: d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1
Fixed Point: 90514620905146209051462090514620 | Rounds: 20 | Key: d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1
Fixed Point: e721e721e721e721e721e721e721e721 | Rounds: 9 | Key: d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1
Fixed Point: 84238423842384238423842384238423 | Rounds: 18 | Key: d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1
Fixed Point: bf24bf24bf24bf24bf24bf24bf24bf24 | Rounds: 17 | Key: d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1
Fixed Point: 1f42bf241f42bf241f42bf241f42bf24 | Rounds: 25 | Key: d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1
Fixed Point: 28282828282828282828282828282828 | Rounds: 29 | Key: d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1
Fixed Point: 29292929292929292929292929292929 | Rounds: 41 | Key: d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1
Fixed Point: 568d5529568d5529568d5529568d5529 | Rounds: 17 | Key: d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1
Fixed Point: c02dc02dc02dc02dc02dc02dc02dc02d | Rounds: 24 | Key: d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1
Fixed Point: 2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f2f | Rounds: 37 | Key: d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1
Fixed Point: a22fa22fa22fa22fa22fa22fa22fa22f | Rounds: 15 | Key: d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1
Fixed Point: 5d355d355d355d355d355d355d355d35 | Rounds: 43 | Key: d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1
Fixed Point: fb8a9e36fb8a9e36fb8a9e36fb8a9e36 | Rounds: 44 | Key: d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1
Fixed Point: cb38cb38cb38cb38cb38cb38cb38cb38 | Rounds: 37 | Key: d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1
Fixed Point: 39393939393939393939393939393939 | Rounds: 50 | Key: d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1
Fixed Point: 3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c | Rounds: 50 | Key: d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1
Fixed Point: 3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e3e | Rounds: 7 | Key: d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1
Fixed Point: bf241f42bf241f42bf241f42bf241f42 | Rounds: 25 | Key: d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1
Fixed Point: 43434343434343434343434343434343 | Rounds: 16 | Key: d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1
Fixed Point: 20905146209051462090514620905146 | Rounds: 20 | Key: d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1
Fixed Point: 49494949494949494949494949494949 | Rounds: 19 | Key: d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1
Fixed Point: 184a184a184a184a184a184a184a184a | Rounds: 41 | Key: d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1
